date,AAPL,XOM,JPM,WMT,PFE,AMZN,BAC,T
2025-10-24,261.852753,112.139885,296.233490,105.283554,23.137327,224.210007,51.472809,24.266376
2025-10-27,267.820709,112.674408,299.891571,103.597755,23.146671,226.970001,51.913414,24.642824
2025-10-28,268.009979,111.790024,301.084595,102.308601,22.894367,229.250000,51.766548,24.806917
2025-10-29,268.707428,113.170036,301.232513,101.604530,22.698132,230.300003,51.482601,24.266376
2025-10-30,270.401154,111.459602,305.107483,101.376457,22.698132,222.860001,51.923206,23.822363
2025-10-31,269.374939,111.138901,306.763947,100.335220,23.034536,244.220001,52.334442,23.889929
2025-11-03,268.059753,110.555801,305.018738,100.741798,23.043882,254.000000,52.442146,23.677574
2025-11-04,269.046173,110.925087,304.920135,101.416115,22.707474,249.320007,52.422565,23.590702
2025-11-05,269.145813,110.478058,307.316101,100.622810,22.997160,250.199997,51.355316,23.706530
2025-11-06,268.777130,111.274956,309.031769,100.831039,23.221428,243.039993,52.177784,23.880276
2025-11-07,267.481934,113.918335,309.810669,101.733444,23.230938,244.410004,52.089661,23.967148
2025-11-10,268.698608,114.890175,312.453186,101.564865,23.192902,248.399994,52.305069,23.967148
2025-11-11,274.502838,116.406235,311.200958,102.576363,24.257931,249.100006,52.510685,24.304987
2025-11-12,272.727631,114.792992,315.923889,102.576363,24.600262,244.199997,52.980667,24.758654
2025-11-13,272.209076,115.444122,305.146942,101.683868,24.524189,237.580002,51.766548,24.855177
2025-11-14,271.670532,116.944038,299.359100,101.624367,23.830017,234.690002,51.511971,24.700739
2025-11-17,266.733948,115.365685,296.164459,102.090439,23.849037,232.869995,50.405560,24.584909
2025-11-18,266.714020,116.689140,295.217896,100.543472,24.200876,222.550003,50.562222,24.710392
2025-11-19,267.830963,115.042183,299.023865,99.769974,23.658852,222.690002,50.934284,24.391861
